code,line_item,period_end,measure,value,asOf
,Change of Net Asset Value of the Fund during the period,2021-05-31,month,-61685743769,2021-07-02
,Other Expenses,2021-05-31,month,0,2021-07-02
,Other Expenses,2021-05-31,month,15000000,2021-07-02
,Other incomes,2021-05-31,month,0,2021-07-02
2220,Income from Investment Activities,2021-05-31,month,6004429705,2021-07-02
2221,"Dividend income, interest income from bonds",2021-05-31,month,3200575344,2021-07-02
2221.1,Dividends income,2021-05-31,month,0,2021-07-02
2221.2,Interest income from bonds,2021-05-31,month,3200575344,2021-07-02
2222,Interest income,2021-05-31,month,2803854361,2021-07-02
2222.1,Interest income from bank deposits,2021-05-31,month,77765321,2021-07-02
2222.2,Interest income from Certificates of Deposit,2021-05-31,month,2726089040,2021-07-02
2222.3,Interest income from reverse repo contracts,2021-05-31,month,0,2021-07-02
2223.1,Other investment incomes,2021-05-31,month,0,2021-07-02
2223.3,"Provision expense for bad debts from dividends, interest income and written off bad debts from dividends, interest income",2021-05-31,month,0,2021-07-02
2224,Expenses,2021-05-31,month,1013606238,2021-07-02
2225,Management Fee paid to Fund Management Company,2021-05-31,month,872719594,2021-07-02
2226,"Custody fee, Supervising fee paid to Supervising Bank/VSD",2021-05-31,month,62415170,2021-07-02
2226.1,Custodian service - Safe Custody Fee,2021-05-31,month,29090653,2021-07-02
2226.2,Custodian service - Transaction fee,2021-05-31,month,900000,2021-07-02
2226.3,"Custodian service -  Depository fee, Position and Margin management fee paid to VSD",2021-05-31,month,424800,2021-07-02
2226.4,Supervisory fee,2021-05-31,month,31999717,2021-07-02
2227,"Fund Administration Fee, and other fees paid to relevant Fund's service providers",2021-05-31,month,34999790,2021-07-02
2227.1,Fund Administration Fee,2021-05-31,month,23999790,2021-07-02
2227.2,Transfer Agency Fee,2021-05-31,month,11000000,2021-07-02
2228,Audit fee,2021-05-31,month,9622740,2021-07-02
2229,"Legal consultancy expenses, price feed fee, other valid expenses, remuneration paid to Fund's Board of Representatives",2021-05-31,month,9764384,2021-07-02
2229.1,Remuneration of Fund's Board of Representatives,2021-05-31,month,9764384,2021-07-02
2229.2,Price feed fee,2021-05-31,month,0,2021-07-02
2229.3,Legal consultancy expenses,2021-05-31,month,0,2021-07-02
2230,"Fee for drafting, printing, distribution of prospectus, summarised prospectus, financial statements, transaction confirmations, account statements and other documents to investors; information disclosure fee; fee for organising annual general meeting, board of representatives meeting",2021-05-31,month,0,2021-07-02
2230.1,Meeting expenses,2021-05-31,month,0,2021-07-02
2230.2,Annual report expenses,2021-05-31,month,0,2021-07-02
2230.3,"Fund's Board of Representatives meeting, travelling expenses",2021-05-31,month,0,2021-07-02
2230.4,Expenses of information disclosure of the Fund,2021-05-31,month,0,2021-07-02
2230.5,"Designing, printing, posting... expenses",2021-05-31,month,0,2021-07-02
2231,Expenses related to execution of Fund’s asset transactions,2021-05-31,month,22936710,2021-07-02
2231.1,Brokerage fee,2021-05-31,month,7936710,2021-07-02
2231.2,Clearing settlement fee,2021-05-31,month,0,2021-07-02
