code,line_item,period_end,measure,value,asOf
,Portfolio turnover rate (%) = (Total value of purchase transactions + total value of sales transactions) x 100%/ (2 x Average NAV) (**),2021-05-31,month,0.560987721344121,2021-07-02
2265,Management fee paid to the fund management company/Average NAV (%),2021-05-31,month,0.0122329729106065,2021-07-02
2266,Custody and supervising fees paid to the Supervisory Bank/Average NAV (%),2021-05-31,month,0.000868923445906712,2021-07-02
2267,Auditing fee paid to auditing organizations (if any)/Average NAV (%),2021-05-31,month,0.00013488263418755,2021-07-02
2268,"Legal consultancy, price quotation and other appropriate service fees; remunerations paid to the Board of Representatives/Average NAV (%)",2021-05-31,month,0.000136868068256938,2021-07-02
2269,Expense/Average NAV (%),2021-05-31,month,0.0142077910668243,2021-07-02
2273,Fund scale at the beginning of the period (based on par value of fund certificate),2021-05-31,month,418699977000,2021-07-02
2274,Total value of outstanding Fund Certificate at the beginning of period,2021-05-31,month,418699977000,2021-07-02
2275,Total number of outstanding Fund Certificate at the beginning of period,2021-05-31,month,41869997.7,2021-07-02
2276,Change of Fund scale during the period (based on par value of fund certificate),2021-05-31,month,-31701296000,2021-07-02
2277,Number of Fund Certificates subscribed during the period,2021-05-31,month,1181550.67,2021-07-02
2278,Net subscription amount during the period (based on par value),2021-05-31,month,11815506700,2021-07-02
2279,Fund scale at the end of the period (based on par value),2021-05-31,month,386998681000,2021-07-02
2280,Total value of outstanding Fund Certificate at the end of the period (based on par value),2021-05-31,month,386998681000,2021-07-02
2281,Total number of outstanding Fund Certificate at the end of the period,2021-05-31,month,38699868.1,2021-07-02
2282,Fund Management Company and related parties' ownership ratio at the end of the period,2021-05-31,month,0.0549740413714743,2021-07-02
2283,Top 10 investors' ownership ratio at the end of the period,2021-05-31,month,0.1723,2021-07-02
2284,Foreign investors' ownership ratio at the end of the period,2021-05-31,month,0.0739,2021-07-02
2285,Net asset value per Fund Certificate at the end of period,2021-05-31,month,21371.67,2021-07-02
22661,"Fund admin fee, and other fees paid to relating services providers by the fund management company/Average NAV (%)",2021-05-31,month,0.000496549009348266,2021-07-02
22761,Change of Number of Fund Certificates during the period,2021-05-31,month,-3170129.6,2021-07-02
22762,Change in capital amount during the period (based on par value),2021-05-31,month,-31701296000,2021-07-02
22781,Number of Fund Certificates redeemed during the period,2021-05-31,month,-4351680.27,2021-07-02
22782,Net redemption amount during the period (based on par value),2021-05-31,month,-43516802700,2021-07-02
22841,Number of investors of the Fund at the end of the period,2021-05-31,month,1554,2021-07-02
,Portfolio turnover rate (%) = (Total value of purchase transactions + total value of sales transactions) x 100%/ (2 x Average NAV) (**),2021-06-30,month,0,2021-08-03
2265,Management fee paid to the fund management company/Average NAV (%),2021-06-30,month,0.0118383500860134,2021-08-03
2266,Custody and supervising fees paid to the Supervisory Bank/Average NAV (%),2021-06-30,month,0.000834515171535035,2021-08-03
2267,Auditing fee paid to auditing organizations (if any)/Average NAV (%),2021-06-30,month,0.000135742651555085,2021-08-03
2268,"Legal consultancy, price quotation and other appropriate service fees; remunerations paid to the Board of Representatives/Average NAV (%)",2021-06-30,month,0.000512219830523509,2021-08-03
2269,Expense/Average NAV (%),2021-06-30,month,0.0138458588652374,2021-08-03
2273,Fund scale at the beginning of the period (based on par value of fund certificate),2021-06-30,month,386998681000,2021-08-03
2274,Total value of outstanding Fund Certificate at the beginning of period,2021-06-30,month,386998681000,2021-08-03
2275,Total number of outstanding Fund Certificate at the beginning of period,2021-06-30,month,38699868.1,2021-08-03
2276,Change of Fund scale during the period (based on par value of fund certificate),2021-06-30,month,-7446573700,2021-08-03
2277,Number of Fund Certificates subscribed during the period,2021-06-30,month,1804275.75,2021-08-03
2278,Net subscription amount during the period (based on par value),2021-06-30,month,18042757500,2021-08-03
2279,Fund scale at the end of the period (based on par value),2021-06-30,month,379552107300,2021-08-03
2280,Total value of outstanding Fund Certificate at the end of the period (based on par value),2021-06-30,month,379552107300,2021-08-03
2281,Total number of outstanding Fund Certificate at the end of the period,2021-06-30,month,37955210.73,2021-08-03
2282,Fund Management Company and related parties' ownership ratio at the end of the period,2021-06-30,month,0.0561941193047883,2021-08-03
2283,Top 10 investors' ownership ratio at the end of the period,2021-06-30,month,0.18,2021-08-03
2284,Foreign investors' ownership ratio at the end of the period,2021-06-30,month,0.0878,2021-08-03
2285,Net asset value per Fund Certificate at the end of period,2021-06-30,month,21489.65,2021-08-03
22661,"Fund admin fee, and other fees paid to relating services providers by the fund management company/Average NAV (%)",2021-06-30,month,0.000492676042739072,2021-08-03
22761,Change of Number of Fund Certificates during the period,2021-06-30,month,-744657.37,2021-08-03
22762,Change in capital amount during the period (based on par value),2021-06-30,month,-7446573700,2021-08-03
22781,Number of Fund Certificates redeemed during the period,2021-06-30,month,-2548933.12,2021-08-03
22782,Net redemption amount during the period (based on par value),2021-06-30,month,-25489331200,2021-08-03
22841,Number of investors of the Fund at the end of the period,2021-06-30,month,1582,2021-08-03
,Portfolio turnover rate (%) = (Total value of purchase transactions + total value of sales transactions) x 100%/ (2 x Average NAV) (**),2021-07-31,month,0.250429541490174,2021-09-06
2265,Management fee paid to the fund management company/Average NAV (%),2021-07-31,month,0.0122329986756389,2021-09-06
2266,Custody and supervising fees paid to the Supervisory Bank/Average NAV (%),2021-07-31,month,0.000859171949875399,2021-09-06
2267,Auditing fee paid to auditing organizations (if any)/Average NAV (%),2021-07-31,month,0.000155768297639883,2021-09-06
2268,"Legal consultancy, price quotation and other appropriate service fees; remunerations paid to the Board of Representatives/Average NAV (%)",2021-07-31,month,0.000139731412660943,2021-09-06
2269,Expense/Average NAV (%),2021-07-31,month,0.0139906081667062,2021-09-06
2273,Fund scale at the beginning of the period (based on par value of fund certificate),2021-07-31,month,379552107300,2021-09-06
2274,Total value of outstanding Fund Certificate at the beginning of period,2021-07-31,month,379552107300,2021-09-06
