code,line_item,period_end,measure,value,asOf
,Change of Net Asset Value of the Fund during the period,2021-05-31,month,205115804415,2021-07-01
,Other Expenses,2021-05-31,month,0,2021-07-01
,Other Expenses,2021-05-31,month,10000000,2021-07-01
,Other incomes,2021-05-31,month,0,2021-07-01
2220,Income from Investment Activities,2021-05-31,month,350224241,2021-07-01
2221,"Dividend income, interest income from bonds",2021-05-31,month,103287671,2021-07-01
2221.1,Dividends income,2021-05-31,month,0,2021-07-01
2221.2,Interest income from bonds,2021-05-31,month,103287671,2021-07-01
2222,Interest income,2021-05-31,month,246936570,2021-07-01
2222.1,Interest income from bank deposits,2021-05-31,month,155977666,2021-07-01
2222.2,Interest income from Certificates of Deposit,2021-05-31,month,90958904,2021-07-01
2222.3,Interest income from reverse repo contracts,2021-05-31,month,0,2021-07-01
2223.1,Other investment incomes,2021-05-31,month,0,2021-07-01
2223.3,"Provision expense for bad debts from dividends, interest income and written off bad debts from dividends, interest income",2021-05-31,month,0,2021-07-01
2224,Expenses,2021-05-31,month,214486453,2021-07-01
2225,Management Fee paid to Fund Management Company,2021-05-31,month,94075567,2021-07-01
2226,"Custody fee, Supervising fee paid to Supervising Bank/VSD",2021-05-31,month,29950176,2021-07-01
2226.1,Custodian service - Safe Custody Fee,2021-05-31,month,11500000,2021-07-01
2226.2,Custodian service - Transaction fee,2021-05-31,month,300000,2021-07-01
2226.3,"Custodian service -  Depository fee, Position and Margin management fee paid to VSD",2021-05-31,month,176,2021-07-01
2226.4,Supervisory fee,2021-05-31,month,18150000,2021-07-01
2227,"Fund Administration Fee, and other fees paid to relevant Fund's service providers",2021-05-31,month,48262500,2021-07-01
2227.1,Fund Administration Fee,2021-05-31,month,37262500,2021-07-01
2227.2,Transfer Agency Fee,2021-05-31,month,11000000,2021-07-01
2228,Audit fee,2021-05-31,month,7941096,2021-07-01
2229,"Legal consultancy expenses, price feed fee, other valid expenses, remuneration paid to Fund's Board of Representatives",2021-05-31,month,9765919,2021-07-01
2229.1,Remuneration of Fund's Board of Representatives,2021-05-31,month,9765919,2021-07-01
2229.2,Price feed fee,2021-05-31,month,0,2021-07-01
2229.3,Legal consultancy expenses,2021-05-31,month,0,2021-07-01
2230,"Fee for drafting, printing, distribution of prospectus, summarised prospectus, financial statements, transaction confirmations, account statements and other documents to investors; information disclosure fee; fee for organising annual general meeting, board of representatives meeting",2021-05-31,month,0,2021-07-01
2230.1,Meeting expenses,2021-05-31,month,0,2021-07-01
2230.2,Annual report expenses,2021-05-31,month,0,2021-07-01
2230.3,"Fund's Board of Representatives meeting, travelling expenses",2021-05-31,month,0,2021-07-01
2230.4,Expenses of information disclosure of the Fund,2021-05-31,month,0,2021-07-01
2230.5,"Designing, printing, posting... expenses",2021-05-31,month,0,2021-07-01
2231,Expenses related to execution of Fund’s asset transactions,2021-05-31,month,16351630,2021-07-01
2231.1,Brokerage fee,2021-05-31,month,6351630,2021-07-01
2231.2,Clearing settlement fee,2021-05-31,month,0,2021-07-01
2232,Other expenses,2021-05-31,month,8139565,2021-07-01
2232.1,Set up Expenses,2021-05-31,month,0,2021-07-01
2232.2,"Listing, registration fees",2021-05-31,month,0,2021-07-01
2232.3,Annual management fee paid to SSC,2021-05-31,month,849315,2021-07-01
2232.4,Bank charges,2021-05-31,month,7290250,2021-07-01
2232.5,Borrowing expense,2021-05-31,month,0,2021-07-01
2232.7,Fee paid to VSD for getting the list of investors,2021-05-31,month,0,2021-07-01
2233,Net Income from Investment Activities (= I - II),2021-05-31,month,135737788,2021-07-01
2234,Gain / (Loss) from Investment Activities,2021-05-31,month,5048865,2021-07-01
2235,Realised Gain / (Loss) from disposal of investment or real estate transfer,2021-05-31,month,0,2021-07-01
2236,Unrealised Gain / (Loss) due to market price,2021-05-31,month,5048865,2021-07-01
2237,Change of Net Asset Value of the Fund due to investment activities during the period (= III + IV),2021-05-31,month,140786653,2021-07-01
2238,Net Asset Value at the beginning of period,2021-05-31,month,6250033031,2021-07-01
2239.1,Change of Net Asset Value due to investment activities during the period,2021-05-31,month,140786653,2021-07-01
2239.2,Change of Net Asset Value due to  dividends payment to investors during the period,2021-05-31,month,0,2021-07-01
2239.3,Change of Net Asset Value due to subscription/redemption during the period,2021-05-31,month,204975017762,2021-07-01
2239.3.1,Change of Net Asset Value due to subscription during the period,2021-05-31,month,208860200000,2021-07-01
2239.3.2,Change of Net Asset Value due to redemption during the period,2021-05-31,month,-3885182238,2021-07-01
2243,Net Asset Value at the end of period,2021-05-31,month,211365837446,2021-07-01
2244,Average annual profit (only applicable to annual report),2021-05-31,month,0,2021-07-01
2245,Average annual rate of return (only applicable to annual report),2021-05-31,month,0,2021-07-01
,Change of Net Asset Value of the Fund during the period,2021-06-30,month,781907642,2021-08-02
,Change of Net Asset Value of the Fund during the period,2021-06-30,ytd,200336904035,2021-07-01
,Other Expenses,2021-06-30,month,0,2021-08-02
,Other Expenses,2021-06-30,month,10000000,2021-08-02
,Other Expenses,2021-06-30,ytd,0,2021-07-01
,Other Expenses,2021-06-30,ytd,20000000,2021-07-01
,Other incomes,2021-06-30,month,0,2021-08-02
,Other incomes,2021-06-30,ytd,0,2021-07-01
2220,Income from Investment Activities,2021-06-30,month,1177414337,2021-08-02
2220,Income from Investment Activities,2021-06-30,ytd,1577553980,2021-07-01
2221,"Dividend income, interest income from bonds",2021-06-30,month,524498561,2021-08-02
2221,"Dividend income, interest income from bonds",2021-06-30,ytd,627866232,2021-07-01
2221.1,Dividends income,2021-06-30,month,115000,2021-08-02
2221.1,Dividends income,2021-06-30,ytd,195000,2021-07-01
2221.2,Interest income from bonds,2021-06-30,month,524383561,2021-08-02
2221.2,Interest income from bonds,2021-06-30,ytd,627671232,2021-07-01
2222,Interest income,2021-06-30,month,652915776,2021-08-02
2222,Interest income,2021-06-30,ytd,949687748,2021-07-01
2222.1,Interest income from bank deposits,2021-06-30,month,304723995,2021-08-02
2222.1,Interest income from bank deposits,2021-06-30,ytd,510537063,2021-07-01
2222.2,Interest income from Certificates of Deposit,2021-06-30,month,348191781,2021-08-02
2222.2,Interest income from Certificates of Deposit,2021-06-30,ytd,439150685,2021-07-01
2222.3,Interest income from reverse repo contracts,2021-06-30,month,0,2021-08-02
2222.3,Interest income from reverse repo contracts,2021-06-30,ytd,0,2021-07-01
2223.1,Other investment incomes,2021-06-30,month,0,2021-08-02
2223.1,Other investment incomes,2021-06-30,ytd,0,2021-07-01
2223.3,"Provision expense for bad debts from dividends, interest income and written off bad debts from dividends, interest income",2021-06-30,month,0,2021-08-02
2223.3,"Provision expense for bad debts from dividends, interest income and written off bad debts from dividends, interest income",2021-06-30,ytd,0,2021-07-01
2224,Expenses,2021-06-30,month,322184621,2021-08-02
2224,Expenses,2021-06-30,ytd,946301744,2021-07-01
2225,Management Fee paid to Fund Management Company,2021-06-30,month,208603506,2021-08-02
2225,Management Fee paid to Fund Management Company,2021-06-30,ytd,340622514,2021-07-01
2226,"Custody fee, Supervising fee paid to Supervising Bank/VSD",2021-06-30,month,30700170,2021-08-02
