code,line_item,period_end,measure,value,asOf
2265,Management fee paid to the fund management company/Average NAV (%),2021-05-31,month,0.0122314333638007,2021-07-01
2266,Custody and supervising fees paid to the Supervisory Bank/Average NAV (%),2021-05-31,month,0.0038940124511376087,2021-07-01
2267,Auditing fee paid to auditing organizations (if any)/Average NAV (%),2021-05-31,month,0.00103247835391249,2021-07-01
2268,"Legal consultancy, price quotation and other appropriate service fees; remunerations paid to the Board of Representatives/Average NAV (%)",2021-05-31,month,0.00126973656703844,2021-07-01
2269,Expense/Average NAV (%),2021-05-31,month,0.027886908800746,2021-07-01
2270,Portfolio turnover rate (%) = (Total value of purchase transactions + total value of sales transactions) x 100%/ (2 x Average NAV) (**),2021-05-31,month,5.28473274968713,2021-07-01
2273,Fund scale at the beginning of the period (based on par value of fund certificate),2021-05-31,month,6703543200,2021-07-01
2274,Total value of outstanding Fund Certificate at the beginning of period,2021-05-31,month,6703543200,2021-07-01
2275,Total number of outstanding Fund Certificate at the beginning of period,2021-05-31,month,670354.32,2021-07-01
2276,Change of Fund scale during the period (based on par value of fund certificate),2021-05-31,month,220699663300,2021-07-01
2277,Number of Fund Certificates subscribed during the period,2021-05-31,month,22488132.71,2021-07-01
2278,Net subscription amount during the period (based on par value),2021-05-31,month,224881327100,2021-07-01
2279,Fund scale at the end of the period (based on par value),2021-05-31,month,227403206500,2021-07-01
2280,Total value of outstanding Fund Certificate at the end of the period (based on par value),2021-05-31,month,227403206500,2021-07-01
2281,Total number of outstanding Fund Certificate at the end of the period,2021-05-31,month,22740320.65,2021-07-01
2282,Fund Management Company and related parties' ownership ratio at the end of the period,2021-05-31,month,0.94228243435081,2021-07-01
2283,Top 10 investors' ownership ratio at the end of the period,2021-05-31,month,0.997,2021-07-01
2284,Foreign investors' ownership ratio at the end of the period,2021-05-31,month,0.0002,2021-07-01
2285,Net asset value per Fund Certificate at the end of period,2021-05-31,month,9294.76,2021-07-01
22661,"Fund admin fee, and other fees paid to relating services providers by the fund management company/Average NAV (%)",2021-05-31,month,0.006274973665082478,2021-07-01
22761,Change of Number of Fund Certificates during the period,2021-05-31,month,22069966.33,2021-07-01
22762,Change in capital amount during the period (based on par value),2021-05-31,month,220699663300,2021-07-01
22781,Number of Fund Certificates redeemed during the period,2021-05-31,month,-418166.38,2021-07-01
