date,stock_code,industry,weight_pct,asset_value,type_asset
2021-06-01,BOND,,37.39,310445552800,BOND
2021-06-01,CASH,,59.73,495890626394,CASH
2021-06-01,OTHER,,40.27,334384202938,OTHER
2021-07-01,BOND,,35.88,310454552800,BOND
2021-07-01,CASH,,62.04,536860441386,CASH
2021-07-01,OTHER,,37.96,328508828419,OTHER
2021-08-01,BOND,,40.23,360617052800,BOND
2021-08-01,CASH,,57.55,515836309600,CASH
2021-08-01,OTHER,,42.45,380502608738,OTHER
2021-09-01,BOND,,36.42,350520452800,BOND
2021-09-01,CASH,,57.2,550514929610,CASH
2021-09-01,OTHER,,42.8,411915337052,OTHER
2021-10-01,BOND,,36.6,351649935200,BOND
2021-10-01,CASH,,56.89,546567057525,CASH
2021-10-01,OTHER,,43.11,414116949813,OTHER
2021-11-01,BOND,,42.07,378328200570,BOND
2021-11-01,CASH,,54.78,492574079248,CASH
2021-11-01,OTHER,,45.22,406684708180,OTHER
2021-12-01,BOND,,60.09,509023498166,BOND
2021-12-01,CASH,,36.31,307534365247,CASH
2021-12-01,OTHER,,63.69,539540973861,OTHER
2022-01-01,BOND,,57.23,528622278448,BOND
2022-01-01,CASH,,32.43,299544616192,CASH
2022-01-01,OTHER,,67.57,624160751044,OTHER
2022-02-01,BOND,,59.2,578876978448,BOND
2022-02-01,CASH,,38.87,380088808893,CASH
2022-02-01,OTHER,,61.13,597739893826,OTHER
2022-03-01,BOND,,76.03,657699886557,BOND
2022-03-01,CASH,,21.67,187508489197,CASH
2022-03-01,OTHER,,78.33,677588641663,OTHER
2022-04-01,BOND,,73.66,621993731501,BOND
2022-04-01,CASH,,24.21,204456960155,CASH
2022-04-01,OTHER,,75.79,639907949729,OTHER
2022-05-01,BOND,,77.53,641369526517,BOND
2022-05-01,CASH,,19.93,164833533463,CASH
2022-05-01,OTHER,,80.07,662384409515,OTHER
2022-06-01,BOND,,78.01,641141371566,BOND
2022-06-01,CASH,,20.18,165840493589,CASH
2022-06-01,OTHER,,79.82,656021412340,OTHER
2022-07-01,BOND,,76.59,631951548705,BOND
2022-07-01,CASH,,22.11,182397392061,CASH
2022-07-01,OTHER,,77.89,642732276295,OTHER
2022-08-01,BOND,,81.06,671340460793,BOND
2022-08-01,CASH,,17.32,143461562614,CASH
2022-08-01,OTHER,,82.68,684748630040,OTHER
2022-09-01,BOND,,81.37,670865915709,BOND
2022-09-01,CASH,,16.42,135370980482,CASH
2022-09-01,OTHER,,83.58,689127490140,OTHER
2022-10-01,BOND,,84.48,544806717252,BOND
2022-10-01,CASH,,12.98,83713770119,CASH
2022-10-01,OTHER,,87.02,561158477127,OTHER
2022-11-01,BOND,,74.55,444325669671,BOND
2022-11-01,CASH,,22.89,136445050729,CASH
2022-11-01,OTHER,,77.11,459559453911,OTHER
2022-12-01,BOND,,70.46,310798460703,BOND
2022-12-01,CASH,,27.22,120061179782,CASH
2022-12-01,OTHER,,72.78,321039202042,OTHER
2023-01-01,BOND,,68.82,298242999358,BOND
2023-01-01,CASH,,28.64,124129891940,CASH
2023-01-01,OTHER,,71.36,309210619288,OTHER
2023-02-01,BOND,,73.22,302519368953,BOND
2023-02-01,CASH,,24.51,101271718981,CASH
2023-02-01,OTHER,,75.49,311878066646,OTHER
2023-03-01,BOND,,80.04,314116512355,BOND
2023-03-01,CASH,,18.59,72963658233,CASH
2023-03-01,OTHER,,81.41,319503572624,OTHER
2023-04-01,BOND,,83.51,324530512986,BOND
2023-04-01,CASH,,14.74,57275630093,CASH
2023-04-01,OTHER,,85.26,331354894840,OTHER
2023-05-01,BOND,,72.37,282582821886,BOND
2023-05-01,CASH,,25.64,100093407268,CASH
2023-05-01,OTHER,,74.36,290354599827,OTHER
2023-06-01,BOND,,79.07,315248417147,BOND
2023-06-01,CASH,,17.6,70171428921,CASH
2023-06-01,OTHER,,82.4,328547406446,OTHER
2023-07-01,BOND,,77.29,303586529154,BOND
2023-07-01,CASH,,20.66,81164713918,CASH
2023-07-01,OTHER,,79.34,311638155926,OTHER
2023-08-01,BOND,,81.38,322734410328,BOND
2023-08-01,CASH,,17.18,68139436711,CASH
2023-08-01,OTHER,,82.82,328433002332,OTHER
2023-09-01,BOND,,86.25,347101274743,BOND
2023-09-01,CASH,,11.61,46725701695,CASH
2023-09-01,OTHER,,88.39,355716991706,OTHER
2023-10-01,BOND,,85.89,347341683115,BOND
2023-10-01,CASH,,11.65,47118382940,CASH
2023-10-01,OTHER,,88.35,357293434514,OTHER
2023-11-01,BOND,,85.27,360415892227,BOND
2023-11-01,CASH,,11.96,50549639796,CASH
2023-11-01,OTHER,,88.04,372130752975,OTHER
2023-12-01,BOND,,75.96,377594675142,BOND
2023-12-01,CASH,,20.99,104340014737,CASH
2023-12-01,OTHER,,79.01,392726419388,OTHER
2024-01-01,BOND,,73.23,425921207240,BOND
2024-01-01,CASH,,23.72,137939345701,CASH
2024-01-01,OTHER,,76.28,443678446865,OTHER
2024-02-01,BOND,,46.97,426519055140,BOND
2024-02-01,CASH,,51.92,471405785511,CASH
2024-02-01,OTHER,,48.08,436585513558,OTHER
2024-03-01,BOND,,42.85,509153307620,BOND
2024-03-01,CASH,,55.97,665005236161,CASH
2024-03-01,OTHER,,44.03,523127401884,OTHER
2024-04-01,BOND,,48.5,548471336120,BOND
2024-04-01,CASH,,49.93,564648111298,CASH
2024-04-01,OTHER,,50.07,566156077710,OTHER
2024-05-01,BOND,,42.71,533974819621,BOND
2024-05-01,CASH,,55.46,693305328298,CASH
2024-05-01,OTHER,,44.54,556857942838,OTHER
2024-06-01,BOND,,43.32,587029703860,BOND
2024-06-01,CASH,,54.96,744695885023,CASH
2024-06-01,OTHER,,45.04,610367176664,OTHER
2024-07-01,BOND,,50.37,729115490371,BOND
2024-07-01,CASH,,47.9,693349591477,CASH
2024-07-01,OTHER,,52.1,754071932005,OTHER
2024-08-01,BOND,,57.44,880176423747,BOND
2024-08-01,CASH,,34.98,536057377177,CASH
2024-08-01,OTHER,,65.02,996355135411,OTHER
2024-09-01,BOND,,61.03,939006253896,BOND
2024-09-01,CASH,,37.52,577272164816,CASH
2024-09-01,OTHER,,62.48,961333911376,OTHER
2024-10-01,BOND,,48.74,804409522221,BOND
2024-10-01,CASH,,49.42,815639751953,CASH
2024-10-01,OTHER,,50.58,834674328737,OTHER
2024-11-01,BOND,,51.69,909099632094,BOND
2024-11-01,CASH,,46.15,811623392908,CASH
2024-11-01,OTHER,,53.85,947006058639,OTHER
2024-12-01,BOND,,56.69,956884352009,BOND
2024-12-01,CASH,,40.71,687163827643,CASH
2024-12-01,OTHER,,59.29,1000616828264,OTHER
2025-01-01,BOND,,62.3,1054554046578,BOND
2025-01-01,CASH,,34.8,588962376260,CASH
2025-01-01,OTHER,,65.2,1103641183632,OTHER
2025-02-01,BOND,,65.27,1114864524485,BOND
2025-02-01,CASH,,33.17,566647919536,CASH
2025-02-01,OTHER,,66.83,1141548816805,OTHER
2025-03-01,BOND,,57.15,959438075071,BOND
2025-03-01,CASH,,38.35,643825551877,CASH
2025-03-01,OTHER,,61.65,1035028606807,OTHER
2025-04-01,BOND,,66.17,1038549117909,BOND
2025-04-01,CASH,,32.17,504982445668,CASH
2025-04-01,OTHER,,67.83,1064573892713,OTHER
2025-05-01,BOND,,66.17,1040692531891,BOND
2025-05-01,CASH,,31.86,501119764480,CASH
2025-05-01,OTHER,,68.14,1071630104548,OTHER
2025-06-01,BOND,,69.89,1151104014450,BOND
2025-06-01,CASH,,27.39,451010145561,CASH
2025-06-01,OTHER,,72.61,1195910492177,OTHER
2025-07-01,BOND,,62.94,1142417037891,BOND
2025-07-01,CASH,,34.71,630020220580,CASH
2025-07-01,OTHER,,65.29,1184974337241,OTHER
2025-08-01,BOND,,57.96,1113339111567,BOND
2025-08-01,CASH,,41.22,791757230904,CASH
2025-08-01,OTHER,,58.78,1129260633975,OTHER
2025-09-01,BOND,,58.14,1168854686938,BOND
2025-09-01,CASH,,40.48,813879951788,CASH
2025-09-01,OTHER,,59.52,1196556590301,OTHER
2025-10-01,BOND,,57.81,1151320173492,BOND
2025-10-01,CASH,,40.46,805707756561,CASH
2025-10-01,OTHER,,59.54,1185752541141,OTHER
2025-11-01,BOND,,57.53,1173390636011,BOND
2025-11-01,CASH,,40.42,824386100080,CASH
2025-11-01,OTHER,,59.58,1215177720662,OTHER
2025-12-01,BOND,,64.32,1168262049913,BOND
2025-12-01,CASH,,32.98,599081813166,CASH
2025-12-01,OTHER,,67.02,1217317002586,OTHER
2026-01-01,BOND,,58.5,1025837415784,BOND
2026-01-01,CASH,,37.66,660444002474,CASH
2026-01-01,OTHER,,62.34,1093258501526,OTHER
2026-02-01,BOND,,70.97,1212142949419,BOND
2026-02-01,CASH,,26.76,457058256352,CASH
2026-02-01,OTHER,,73.24,1250901377722,OTHER
2026-03-01,BOND,,73.8,1085907831416,BOND
2026-03-01,CASH,,24.09,354452783406,CASH
2026-03-01,OTHER,,75.91,1116929732461,OTHER
2026-04-01,BOND,,69.73,908168056316,BOND
2026-04-01,CASH,,27.38,356673778010,CASH
2026-04-01,OTHER,,72.62,945779003858,OTHER
2026-05-01,BOND,,77.46,812444446455,BOND
2026-05-01,CASH,,20.21,212000476539,CASH
2026-05-01,OTHER,,79.79,836906494911,OTHER
2026-06-01,BOND,,75.31,743239680369,BOND
2026-06-01,CASH,,21.66,213729881752,CASH
2026-06-01,OTHER,,78.34,773218848792,OTHER
2026-07-01,BOND,,69.67,695744908406,BOND
2026-07-01,CASH,,28.36,283180165089,CASH
2026-07-01,OTHER,,71.64,715461437334,OTHER
