date,stock_code,industry,weight_pct,asset_value,type_asset
2021-06-01,FPT,Công nghệ và thông tin,0.0,1496000,STOCK
2021-06-01,BOND,,28.67,60888400300,BOND
2021-06-01,CASH,,69.01,146576550335,CASH
2021-06-01,OTHER,,30.99,65819749722,OTHER
2021-07-01,FPT,Công nghệ và thông tin,0.0,1598000,STOCK
2021-07-01,BOND,,31.77,67880560300,BOND
2021-07-01,CASH,,66.42,141937409328,CASH
2021-07-01,OTHER,,33.58,71750340764,OTHER
2021-08-01,FPT,Công nghệ và thông tin,0.0,1570800,STOCK
2021-08-01,BOND,,39.47,85966950300,BOND
2021-08-01,CASH,,58.22,126796893074,CASH
2021-08-01,OTHER,,41.78,90990203440,OTHER
2021-09-01,FPT,Công nghệ và thông tin,0.0,1581000,STOCK
2021-09-01,BOND,,28.29,78155820300,BOND
2021-09-01,CASH,,51.47,142170010743,CASH
2021-09-01,OTHER,,48.53,134071412257,OTHER
2021-10-01,FPT,Công nghệ và thông tin,0.0,1647300,STOCK
2021-10-01,BOND,,29.02,78155820300,BOND
2021-10-01,CASH,,49.71,133873021819,CASH
2021-10-01,OTHER,,50.29,135431251985,OTHER
2021-11-01,FPT,Công nghệ và thông tin,0.0,1650700,STOCK
2021-11-01,BOND,,32.81,89372650000,BOND
2021-11-01,CASH,,64.22,174913142496,CASH
2021-11-01,OTHER,,35.78,97457001249,OTHER
2021-12-01,BOND,,38.15,103728980000,BOND
2021-12-01,CASH,,59.05,160538239834,CASH
2021-12-01,OTHER,,40.95,111328572876,OTHER
2022-01-01,BOND,,45.08,123952650000,BOND
2022-01-01,CASH,,52.45,144216765652,CASH
2022-01-01,OTHER,,47.55,130740384523,OTHER
2022-02-01,BOND,,50.07,154152160000,BOND
2022-02-01,CASH,,48.43,149111557554,CASH
2022-02-01,OTHER,,51.57,158768726852,OTHER
2022-03-01,BOND,,60.22,169111344900,BOND
2022-03-01,CASH,,37.56,105487617905,CASH
2022-03-01,OTHER,,62.44,175347444894,OTHER
2022-04-01,BOND,,54.37,160109210480,BOND
2022-04-01,CASH,,43.42,127872519580,CASH
2022-04-01,OTHER,,56.58,166613507214,OTHER
2022-05-01,BOND,,70.68,220336993490,BOND
2022-05-01,CASH,,27.13,84575403090,CASH
2022-05-01,OTHER,,72.87,227153526881,OTHER
2022-06-01,BOND,,63.28,234380879540,BOND
2022-06-01,CASH,,35.03,129745489895,CASH
2022-06-01,OTHER,,64.97,240656362596,OTHER
2022-07-01,BOND,,50.64,247981855310,BOND
2022-07-01,CASH,,48.44,237212344385,CASH
2022-07-01,OTHER,,51.56,252464226084,OTHER
2022-08-01,BOND,,61.6,529422739570,BOND
2022-08-01,CASH,,36.77,315996379384,CASH
2022-08-01,OTHER,,63.23,543399127558,OTHER
2022-09-01,BOND,,63.07,675197958350,BOND
2022-09-01,CASH,,34.44,368697802038,CASH
2022-09-01,OTHER,,65.56,701884405886,OTHER
2022-10-01,BOND,,78.13,579485673950,BOND
2022-10-01,CASH,,18.89,140101172790,CASH
2022-10-01,OTHER,,81.11,601631564087,OTHER
2022-11-01,BOND,,86.37,279185673530,BOND
2022-11-01,CASH,,10.46,33810607107,CASH
2022-11-01,OTHER,,89.54,289424591338,OTHER
2022-12-01,BOND,,85.82,252622205320,BOND
2022-12-01,CASH,,11.7,34435735054,CASH
2022-12-01,OTHER,,88.3,259918042077,OTHER
2023-01-01,BOND,,66.56,194362535250,BOND
2023-01-01,CASH,,31.26,91280870322,CASH
2023-01-01,OTHER,,68.74,200738167482,OTHER
2023-02-01,BOND,,68.45,200305612728,BOND
